내용,판단 결과,추천수
어떻게 판결나는지 지켜보겠습니다. 또 다른 피해자가 나오지 못하도록 영원히 사회와 격리되어야 합니다.,0,473
피해자는 심각하게 다쳐 있는데 1심에서 형량이 그것밖에 안되다니 통탄합니다. 법이 누굴 위한건지!,0,379
제발 부탁드립니다..... 누가 이나라에서 자식을 낳고 딸아이를 낳겠습니까 올곧은 마음으로 선서한 그 정심으로 바로 판단해주십쇼 판사님 부탁드립니다,1,168
판사들이 문제입니다. 진짜 인공지능 판사로 대체가 절실합니다,0,848
더이상 기다릴수 없을정도로 사법부의 법 체계는 형편없는 곳으로 치닫고 있다. 더 엄격하고 신속한 판결이 절실하다.,0,371
범죄자는 강력하게 처벌해야합니다. 강력하게요 강력!! 저건 폭행이든 성폭행이든 절대 실수일수 없고 법을 만만하게 보고 고의성을 가지고 저지를 일입니다. 형을 받고 형을 살고 사회에 복귀해서 함께 살아갈 수 없는 사람이에요... 제발 사형이든 무기징역든 강력하게 처벌해주세여!!,0,1
피해자가 운 좋게 살았다고 형량 깎아주는 건 대체.,0,158
인권위랑 판사들 진짜 자신 가족이 당해야 변할것인가?? 화가나네요,0,0
판사님 전국민이 보고있습니다.만일 성범죄가 없다고 하드라도 최고 형을주셨으면 합니다.사람에게는 반성할기회를 주고 용서를 해야 하지만 저런 동물만도 못한 쓰래기에게는 용서대신 벌을 주시길 바랍니다 자식둔 부모로써 한마디 적어 봤습니다,0,4
어떤 판결 나오는지 꼭 지켜보겠습니다. 가해자 신상공개와 함께 사회영구격리 등의 조치도 있길 바래봅니다,0,1
당시에 옷이랑 다 증거로 채택해서 DNA검사를 했었어야는데 어떻게 그렇게 제일 중요한걸 빼먹을수있지? 담당수사관들 진짜 이상하다...,0,146
재판 할 필요가 없다. 이런자는 인간계에서 영원히 재거시켜야한다. 존경하는 판사님 범죄자를 조호하기 위한 판결하지 마시기 바랍니다 .,0,72
자신의 죄를 뉘우치기 보다는 기피하려 하니 부디 무기징역을 선고해주십시오.,0,0
감옥에서 영원히 못나오게 해야함.피해자를 위한 판결이 내려지길 바랍니다.,0,0
반성문 공장 돌아가는 소리 들린다 판사님이 이제 피해자 대신 용서하기 위해 반성문 몇장인지 아랫것들에게 물어보시리라,0,260
12년이 아니라 무기징역으로 살았음 좋겠네요...교도소 나오면 피해자한테 가서 폭행을 하겠다고 했으니 아무리 여친이 있다 한들 뭐 어쩌겠습니까? 제발 무기징역으로 벌을 달게 받았으면 좋겠어요,0,111
고의범죄는 형량을 높여야 한다. 이게 뭐냐,0,16
"경찰이 성범죄 증거를 찾지 못한게 아니라, 성범죄 증거를 찾을 생각이 없었던 것이다. 경찰은 성범죄에 대해 문제의식이 없는 자들이 많은 집단들이고, 본인들도 성범죄를 행하는 자들이라서, 저 부분을 목격자가 진술 했음에도 무시하고 넘긴것이다. 그런데, 판사들도 성범죄에 대해서 무지하게 관대한 인간들이라, 성범죄가 있었다면, 엄청나게 형을 적게 줄 것이다. 여태껏 그랬던 것처럼...",0,17
바로 사형 시켜라...감옥에 가둬 놓고 먹이고 재워줄 이유가 없다 ...저런 것들은 징역 살고 나와도 또 저런 범죄를 저지른다~,0,216
다시는 사회로 부터 나올 수 없게 엄벌을 내려주십시오 재판장님.,0,572
판사님......성범죄까지 갈 것 없이 사회와 격리시켜야 할 인종이잖아요....,0,313
판사 빼고 일반 시민 배심원으로 판결 내리게 하자...,0,18
판결하는 판사가 개판사가 아니길 간절히 기도합니다,1,198
엄벌에 처해주세요 판사님 제발요,1,0
계속 풀어주고 계속 피해자가 나온다면 판사도 공범으로 봐야지,1,27
이걸풀어준 판사는 사법권남용죄 처벌해야합니다,1,1
판사가 임의로 감형해서 범죄자가 재범 저지를경우 판사도 같이 책임지는 제도를 만들어야함!!! 그래야 진짜 개선의여지가 있는사람만 감형하지 재범 징역1개월당 = 판사가 1억 배상 이런식으로,0,9
판사님 제발 흉악범은 악질로 최고형을 때려주세요.,1,29
이런 짐승보다 못한 녀석은 무기징역이 마땅하다.,0,1
무기징역 부탁합니다 판새님 피해자는 장애인 됩습니다 뭐가 정의인지 부디 보여주시길..,1,428
이제부터 낮은형량을 판결해서 사회에 일찍나와 동일 유사범죄 시 해당 판결 내린 판사들도 법적 심판을 받도록 해야한다. 판새들 때문에 계속 선량한 시민들만 피해를 입는다. 법을 바꾸라.,0,2
"항소심 재판부는 관습과 판례에 얽매인 형식적인 선고가 아닌 피의자의 정확한 범죄사실과 국민정서에 일치하는 정확한 판결을 내리는 판사님이 되시길,,,,,,",1,12
저게 12년형이라고? 판사 검사 딸내미들이 당해도 같을까? 한국 사법부 및 헌법은 쓰레기?!,0,2
판사님 제발 법을 믿을 수 있게 해주세요 좀,1,1
무기징역!!!!!!!!!! 저런것들은 사회에 나오면 안된다!,0,0
성범죄가 아니더라도 저 정도의 심한가해를 했는데 12년??? 제발 제대로된 판결을 내려라,0,43
"만약 재판부가 저 공소장을 거부하면, 저치들은 진짜 판사라는 것들 전부 다 성범죄자라고 봐야 할 것이다",0,10
무기징역도 아깝다 그냥 사회에서 영원히 분리하자 보내줘 원래 가야할 곳으로,1,0
피해자는 인생 망쳤는데 저인간은 겨우 12년?? 나오면 또 뭔짓을 하고 살지 뻔한데!! 우리나라는 형량이 너무약하다 진짜!!!!! 피해자나 가족들 너무너무 억울해서 어찌사나..,0,40
우리나라 법이 너무 약해... 교도소도 복지가 너무 좋아. 100명중에 몇명이나 반성하고 깨우치고 나와서 새삶을살까 그냥 형량채울때까지 피해자 고통만큼 패고 노역시키면 안되냐 저런 사람같지도않은걸,0,0
"만약 제가 판사였다면 이런 중범죄자들은 무조건 이유불문 무기징역을 판결하고 싶습니다. 사람이 편하고 행복하게 살아야 하는것이 국민 모두의 바램이거늘, 왜 이런 범죄자들은 기껏 몇년 깜빵생활하다 나와서 또 범죄를 저지르는건지?? 이럴꺼면 그냥 무기징역 판결하여, 사회에서 평생 격리시켜야 하는것이 옳은줄로 압니다.",0,0
성범죄를 떠나 이런 놈은 사형이나 무기징역아니냐 판사는 무슨생각으로 판결하나 답답하다,0,0
뚫린 입이라고 말은 잘한다.. 그냥 사형을 시켜 주세요.. 피해자는 지금 평생을 고통속에 살아가야 합니다.. 판사님.. 님의 가족이 당한 일이라면.. 이라고 생각해 주세요..,1,0
반성문썼다고 5년감형해준거 어이없던데 꼭 성범죄도 추가되서 늙어죽을때까지 감옥에있으면 좋겠네요!,0,1
대한민국 검사님들화이팅 일부검사들가지고 특정 정치세력이 검찰악마화하고있지만 대부분의 검사님들이 이런 나쁜인간들 법의심판을 제대로 받을수있게 노력하는 검사님들이라는걸 정상적인국민들은 알고있습니다,0,1
이번 판결한 판사님이 재대로 일하는것이다 다른 판사들도 재대로 일했으면 좋겠다,1,0
범죄자에게 가벼운 판결을 내려 재범률을 계속 높이는 이유가 뭘까요? 사실상 다른사람 괴롭히고 폭행하라고 내보내는 꼴인데 판사들은 책임감 안 느끼나요? 판사들 형량과 재범률 분석하고 공시해서 재범률이 높은 범죄자를 계속 사회로 돌려보내는 판사들은 경각심를 가질 수 있도록 해야합니다...,0,3
판사도 곧 AI로 대체 시켜야한다.,0,34
판사가 만든 악마!!! 법이 문제가 아니라 판사가 약하게 처벌함!! 전과 18범 참~ 저런 사람흉내내는 벌레 알고지내면 인생 골로감!!,0,1
여자를 뒤에서 비겁하게 돌려차기로 기절시키는 행위는 칼만 안들었지 사람생명에 해를 끼치는 중대한사건으로 엄벌에 처해야합니다. CCTV에 다 찍혀았는데 왜 여자를 끌고가서 너가 범죄 저질러놓고 인간의 털을 쓰고 저런놈은 무기징역레 처해 경각심을 일으켜야 합니다.,0,26
진심 정당방위에 그토록 파르르하는 법체계의 저의가 궁금함. 이 정도로 정당방위를 인정하지 않는 이유가 무엇일가? 다른 나라에도 이런 예가 있을까? 법 원문부터 해석하여 판결하는 일체 프로세스가 석연치 않다.,0,2
"판사분들께 간청합니다.. 피해자분을 조금이라도 위로한다면, 이사회정의가 조금이라도 살아 있음을 보여주세요.. 피의자 사형또는 무기지역.. 아니 짐승보다 못한 이놈 사지를 찢는 거열이란 형벌로 정의심판 간곡히 부탁드립니다..",0,1
전과 18범이면 사회에서 영원히 격리시키라고!!!!!!!! 왜 자꾸 세상 밖으로 보내서 범죄를 저지르게 하는 건데... 이러니까 판사도 공범이라는 말도 생겼지.......,0,0
전과34범도 돌아다니는 대한민국 판사들 대단하다,1,1
무기징역형이라는 처벌만이 남았네 무기징역형자ㆍ모든성범죄자는 가석방ㆍ사면 폐지하라!!!!!!!!!!,0,1
급물살을 타면 뭘하나 판사가 감형해줄텐데 범죄자의 인권은 중요한 대한민국이니 참..,0,0
12년뒤에 또 한사람 인생 조지라는 판사님의 헤아림… 가해자를 위한 대한민국!!,0,0
이놈은 전과기록도 화려한데 계속 풀어준 판사가 레전드,0,1
성범죄를 배제할수 있는 판단이 어디서 나올수 있는지 참으로 궁금하다 어떤 검사인지 궁금하다,0,0
판사님들 폼 미쳤다! 반드시 한국을 미친 나라로 만드세요.,0,0
인간말종이다. 피해자는 왜 법에서마저 피해를봐야하는지 제대로 판결해라~,0,0
위대함 판사님의 선택~ ㅋㅋㅋ뻔할뻔 ㅋㅋ,0,20
국민의 관심이 쏠려있어야 형량이 정상적으로 내려짐,0,0
판사에게 기대할게 못됩니다. 어딘가에 한국판 덱스터가 존재하길 간절히 바랍니다.,1,0
성범죄가 아니더라도 저정도 폭행을 했다면 사람이 죽을수도 있는데 당연히 무기징역 아닐까요? 대한민국법은 절대 상식적이질 않네요....,0,24
판사님 옆집에 평생 살게 할 거 아니면 무기좀 때려주세요,1,0
AI가 가장 필요한 직업 : 판사,1,10
사형제도 집행할 수 없다면 형량 200년 300년씩이라도 때려요! 인간 같지 않은 것에 왜 인권이 필요한건가요.,0,0
판사 : 심신미약 가해자가 반성 하고 있어 징역 10년을 선고한다,1,0
저런 흉악범은 강력히 처벌해라. 절때 감형은 없어야 한다. 피해자를 정상적인 생활 못 하게 만들어 놓고는 저런 놈은 영원히 감옥에 있어야 한다.,0,39
"범칙금 전과를 제외한 순수 범죄를 행한 전과 3범 이상은 사건 여부를 따져 폭력,사기등 죄가가 큰 범죄는 갱생의 여지가 없으므로 무기나 사형이 답임 범칙금 전과는 살다보면 생길수 있는 문제로 최소5범 이상은 상습이라 보고 강하게 판결해야 하는거고요 여기에 위에 언급한 직접범죄+범칙금 합쳐5범 이상은 문제가 있다보고 엄하게 판결을 해야하죠 그리고 교화소도 일단 사회에서 물의를 일으켜 들어온 자들이기에 인권이고 뭐고 교도관들의 폭력을 제외한 두번다시는 들어가기를 진저리칠 정도로 환경을 바꿔야함 (강제 노역을 시키던가,1일1식에 필요 영양제만 투입해 영양실조는 안걸리더라도 배고품에 고생하게하는등 방법은 많음) 다 합쳐 18범이면 너무 법조계가 방관한거 아닌가?",0,0
판사야 정신차려 12년은 너무 짧아 니 딸이 그랬다고 생각해봐 최소 무기징역 이다 전과18범에 발차기 사전동작 봐라 사람으로 살 생각이 없는 놈의 행동이다 그놈 고추 잘르고 사형선고해라,0,0
"두말할 필요없이 이시대 포청천 판결이 필요함 ""작두를 열어라~~~ 샦 !!! """,1,1
합의할 가치도 없는 놈.징역 10년 이상 엄벌해주세요.판사님,0,0
미국처럼 형벌 좀 세게 가하지 왜 솜방망이 처벌하냐? 판사들아? 꼭 니들 가족이 당해서 그때 가서 땅 치고 후회하지말고 정당한 사회 좀 만들어라,0,0
"출소하면 판사, 초등수사했던 경찰 집에서 동거추천",1,0
우리나라 법은 저딴 새끼들 한테 엄청 유하네 없는죄도 만들어서 징역 살게하는데 저런넘은 도데체왜 사회로 나오게하는지 참,0,1
무기징역이나 사형때려라...사회에 풀지말고,0,117
12년? 판사 자식이 당해도 12년이냐 욕나온다,0,0
영원한 무기수 되어야 한다 다음 대상은 검사 판사 일가족 일수도 우리모두의 가족 일수도 있습니다,1,1
전과 18범을 계속 풀어주는 판사!!! 니들이 사람이냐??? 니들딸이 당해도 그럴까??,0,1
12년은 너무 터무니없는 형량이므로 성범죄를 저질렀던 말던 고문과 협박을 통해 반드시 자백을 받아내길 바랍니다.,0,38
저런놈 무기징역 50년이상 감방에 살아야 한다. 성폭행하기 위해서 무고한 사람을 죽이려 했으니 죄질자체가 더럽다.,0,33
저걸 뭘듣고 있나 ? 그냥 살인죄로 무기징역 때려야지 12년? 지랄 판사나 검사 니들 딸이 저리당했다봐라 그정도 때리겠나? 진짜 어이가없네,0,2
그냥 사회와 완전히 분리시켜라... 저런놈 나오면 달라질것 같냐... 절대 사람은 고쳐 쓰는거 아니다... 무기징역으로 사회와 완전 분리...,0,0
본인 딸 여동생이 저런일을 당했어도 이리 판결할 수 있을까,0,0
판사의 집구석에 있는 가족에게 이와 똑같은 일이 생겨 12년되길 학수고대해 본다.,0,0
우리나라는 총기 같은거는 거의 청정한데 법 관련 해서는 너무 미흡하다 진짜 다른 법들도 어디 빵꾸 뚫려있어서 처벌 못하거나 회피하는데 전방위적으로 모든 법안 개선시키고 느슨한 판결 내리는 판사들 정신머리좀 고쳐줘라 제발...,0,0
나쁜놈 판사는 정신 차려라! 뻘짓 하지말고 18범이 말이냐 방구냐? 5범때 완전 사회격리시켰어야지... 아주 범죄자를 형량만 피해갈수 있게 교육만시키는구나.,0,0
전과18범이 어떻게 저렇게 자유롭게 범죄를 저지르냐 우리나라 판사들 저 나이에 18범은 20살 이후로 치면 일년에 한번꼴인데 참관대하네 초범은 약하다 하더라도 2범3범으로 올라가면 형도 올라가게 해라,0,0
그냥 무기징역 때려 아니 현대사회에서 사람을 발로 얼굴을차서 엎고간놈을 다시 사회로 풀어줄순없잖아,0,0
법공부 다시 하세요 판사님 좀 상식적으로 보고 판단을 하세요 제발,1,0
그놈의 범죄자 인권때문에 피해자의 인권은 짓밟히고 범죄자의 인권때문에 형량이 다 솜방망이 처벌이라 새로운 피해자는 항상 생겨나고... 중범죄자들 잡히는 족족 싹다 사형시켜봐라 그러면 재범률은 0%될테니까....,0,0
이래서 공소따로하는 검사들 미국처럼 바꿔야함 검사들이 자기가 맡은 사건 직접 재판에 참가해야지 일선 경찰 형사들과 증거 검증 해야하고~~~,0,0
아니 판사 어쩌고 하는데 판사를 욕할게 아니라 법이 약한걸 지적해야지 판사가 맘대로 법 무시하고 넌 사형 이러냐?,0,1
"세상이 아직 미개하다고 생각합니다. 피해자는 가해자에게 용서 할 마음이 없는데, 판사라는 제 3자가, 가해자를 용서해주고 판결을 결정하는 아이러니한 현실. 심지어 가해자에게 솜방망이 처벌을 주는 것은 피해자를 두 번 죽이는 일.",0,12
저런 사람도 세금으로 밥 먹이고 재워주는 대한민국 왜 아이를 안 낳냐고? 판검사 자식들은 불합리를 못 느끼는데 서민들은 법 앞에서 약자야,0,0
"저건 살인죄에 사체유기죄까지 추가해야지, 성범죄는 당연한거고~~ 감형 없는 종신형이 적당! 사형 이면 더좋고!!",0,0
사형제도로가자 무기징역은 저런x레기가 또 나온다고 생각하면 답없다,0,129
전과 18범을 풀어둔 판검사가 진짜 가해자다,0,0
성범죄 추가되면 무기징역 처벌해라,1,0
무기징역 제발 나와라~~~~ 반성도 안하는 가해자 처벌하라!!!,0,46
감형없는 사형판결 나와야함. 무기징역은 20년 뒤에 감형가능하므로 사형 가야함. 어차피 사형집행 안하기때문에 평생 감옥에서 썩다 죽음. 희대의 살인마 고유정을 사형이 아닌 무기징역주는게 한국 개판들이라 정의로운 판결은 기대하기 어려움. 판사들 지자식이 당하기전에는 가해자편임.,0,1
저 영상을 보고나니 너무 먹먹해집니다. 신상공개하고 강력처벌해주세요. 이런 사회에서 어찌 아이를 키우며 살수 있을지요. 선량한 피해자가 또 나오기전에 사형이나 종신형 판결되야합니다. 요즘 판사님들 범죄자를 위해 존재하는것 같네요.,0,42
성범죄를 했던 안했던 저런 애들은 걍 형량 ㅈㄴ 때려서 사회랑 격리시켜야됨 범죄를 몇번을 저질렀는데 ㅋㅋ,0,0
이런놈 10년 ? ? 판사가 착한거냐 ? ? 바보 인 거냐 ? ? 하긴 일거리 자꾸 만들어 놔야지 ㅡㅡ,0,0
"몸뚱아리 하나 믿고 안하무인으로 사는 놈이니 그걸 끊어버려야지.. 징역이고 뭐고 다 필요 없고 걍 손발의 힘줄, 하악근 다 끊고 남은 인생 살아 보라고 해.",0,0
무기징역에 처하고 먼저 신상공개가 필수,0,0
무기징역 부탁드립니다. 무기 안되면 최소 30년형은 선고되어야 합니다.,1,12
무기징역 내려주세요. 사회에서 갹리되야해요,0,1
성범죄가 중요 한건가? 그냥 무기 징역 처 넣어야지,0,0
피해자보다 가해자를 보호하면 나라꼴 망한다 판사들아 정신차려라,0,18
성범죄 안해도 종신형이 적당한거 같구나 만 우리나라 판사님들은 가해자 들한테는 너무 자비를 베푸시는분들 이라서,0,0
사형과 무기징역은 언제 누구에게 쓰려고 아끼냐,0,0
아무이유없이 그냥 사람이 죽을 정도로 쳐때려놓고 둘러매고 으슥한데 가서 바지만 내렸다고 전과 18이라더니 돌머리내 판사양반 이제는 19니 그만 내보내소,0,0
"판사도 경찰도 문제, 검찰 없었으면 경량받도 또 나와 똑같이 설칠놈",0,0
징역이런거 말고 돌려차기로 머리100 대 맞기로 처벌해라. 차는사람은 크로캅으로다가,0,1
"판사들 딸이 저런 꼴 당해도 3, 4년 뒤에 또 풀어줄 지 궁금",0,0
판사한데 죄송합니다 이거하나면 판사는 석방한다 이게 대한민국이다,0,0
봐주기식 판결은 그만해라!! 저런걸 보고서도 고작 판결이 그따위냐? 범죄자 우대냐?,0,0
무기징역도 아깝다 사형집행이 답이다,0,26
사형감 영원히 격리시켜야 한다 사법법부가 엄한 판결을 내려야한다,0,15
아니 저 정도면 사형아니야.. 참 울나라 법 이상해… 무단횡단자 사망하면 운전자한테 형 엄청 때리면서 저런 범죄는 왜 관대하지 참 개법이네.. 미친 판사들 뭔 생각으로 판결하는지 알고싶다..,0,4
범죄자들의천국대한민국 또개판사의개판결이나오겄지ㅠㅠ,0,0
이거 어떻게 재판결 나오는지 두고 보겠습니다. 피해여성분 생각하면 정말 울분이 치밀어오릅니다!,1,5
무기징역형이라는 처벌만이 남았네,0,0
"성범죄가 있건 없건 남녀노소 상관없이 애초에 성범죄까지 다 파악할 수 있게 DNA 채집, 검사를 해야 여러번 헛되이 일하지 않고 1차 재판부터 제대로 범죄혐의에 대해 제 3자인 판사가 판결을 할터인데, 처음 증거 채집부터 성범죄 DNA 검사를 의류 표본으로부터 채집도 하지 않았으니 안그래도 약한 형량이 더 약해질 수 밖에 없는 것이네요. 우리나라 DNA검사 빠르고 좋으면 뭘 합니까? 정황이 있다고 의심되어도 표본을 성범죄 검사를 아예 배제했는데. 예전 그알에서 나온 화재 사망 사건 표본 채집부터 국과수팀에서 소방관 말 무시하고 화재 표본을 다르게 채집해서 아예 다른 결과가 나왔죠. 국과수 분들 힘든건 알지만 기본에 포함되어야 하는게 아닌가 하네요. DNA 기술이 앞으로도 더 발전 될 터인데 표본 자체가 많아야 차후에 미제 사건에 반영도 되고 초기부터 제대로된 판결에 영향을 끼치는데, 현장에 누가 나가서 채집하냐에 따라 알수 있는걸 모르게 된다면 의미가 없는거 아닌가요.국과수에 입김 들어간다고 의심하지 않을 수가 없죠.",0,0
제일 웃긴 게 반성문이다 판사새끼 신나가지고 지가 가해자를 용서를 한다지?,0,0
"경찰분들이 열심히 증거 모아 넘기면 뭐합니까, 징역 찔끔 살다 나오는 걸!!!! 형량 좀 세게 주세요…",1,15
위대하신 국개의원이나 판사 자녀가 당했으면 12년으로 끝났을까?,0,0
왜저게 12년이야 무기징역이지,0,0
꼴에 형량 줄일려고 발악을하네ㅋㅋㅋㅋㅋ 제대로 죗값받아야지~~? 그거알아? 그따위로 살면 죽어서도 신의 심판을 받는단다ㅎㅎ,0,0
"내가 증거 없이 ""상대방이 소리친 이유가 없어 멱살폭행한걸로 보인다"" 유죄받았거든? 판사 돌머리들아 . 바지벗겨진걸로 보아. 유죄선고 안하면 무능하다고 세상에 또 알려라.공부만한 무식이들",0,0
아니 저런 범죄자들 무기징역때려 12년?? 받고 나올때 또 야랄들하지말고,0,0
무기 징역을 받아도 울분이 안 풀린다..진짜 나쁜 새끼!!..,0,5
전과 5범 이상이면 모범출소 없애고 무기징역 으로 해서 노동시켜,0,0
저런 법죄자는 사회에서 격리되어야 하는데 판사들이 판결을 약하게 처분하니 또같은 피해자들이 나오네요,0,4
CCTV 영상만 봐도 건물 출입구로 걸어나가는데 아랫도리 주섬주섬 올리고 허리띠 여미면서 어그적어그적 걸어나가고 있더만 뭐! 판결에 확증이 필요해서 DNA 검사까지 하게된것이지 영상본 남자분들 중에 어 저자식저거 행동거지가 이상한데 라고 생각 안한 남자가 몇이나될까?,0,0
판사들 믿고 마음껏 범죄 저지르는듯. 판사는 누구 편?,0,0
이대로 12년형 판결되면 12년 뒤 무고한 여성 1명이 변사체로 발견될 것,1,0
징역 25년 ! 또는 무기징역 사형,0,0
판사님 당신 딸이 저리 쳐 맛앗도 지금하고 또같이 할건지? ㅈㄴ 긍금하네,0,0
정말 나쁜놈이죠 관계도없는 여자를 무참이 폭행을하고 간강을하려했으니 이런 쓰레기같은놈이 어디있겠읍니까 철저이 수사를해서 강력한 처벌을해야죠 판사님들 정신들 차리시고 엄벌을 해야합니다,0,4
"성폭행할 의도가 없었다면 여자를 어깨에 매고 다른데로 이동할 행동을 할수 없다. 어깨에 맷다는것은 여자임을 간파한것이므로 하이힐이 벗겨진걸보고서야 여자인줄알았단건 명백히 거짓말이며, 엘리베이터가 멈추는 소리가 들렸다면 그냥 도망가지 기절한 여자를 들고갈 이유가 없다는 이런 간단한 판단도 못한단 말인가? 판사는 판단을 제대로 직업이다. 딴것 다떠나 전과 18범이면 설령 가해자에 억울한 판단이 내려졌더라도 그건 억울한게 아니다. 조심하지 않은게 억울해야하는 이유이기도 한것이다.",0,0
근데이해가안가는제.성범죄아니라도이런범죄라면 무기징역해야지 ㅅㅂ,0,12
사형이라는 아주 좋은 제도가 있습니다 판사님,1,4
무기징역감을 12년때리는 한국사법부,0,0
방생하지마걈저런거는ㅜㅜ 방생하면범죄생각만하는데왜재꾸방생해 갱생안된다고 이멍청한판사들아 공부만해서근가..멀몰라도한참몰라,0,0
판사들은 이걸 기다림.. 그래야 성역을 구축하니 할 일 없어봐 다 무시하지ㅎ 풀어주는 이유 에헴,0,0
판사님15년이상때려주세요~~,1,0
저나이에 12년 징역에 성폭력까지 더해지면 다늙어서 나오겠네 ㅉㅉ 서울역 한자리 비냐? ㅋㅋ,0,15
한남기준 7분이면 7번 가능함 무기징역가야지,0,0
판사님 전과 18범입니다 18범!!!,0,0
정말 말도 안돼는 행동짓거리를 하는게 너와 같은 범죄자란다. 범죄자야. 애초에 건물 나갈 때 행동도 바지 추스리는걸로 보이는건 나뿐인가. 전과 초범이면 초범이라 감형. 그럼 전과가 수두룩한 범죄자는 어떤 이유로 감형시켜서 피해자의 불안을 더 확증시킬거니. 사형이 현실적으로 불가능하다면 그냥 햇빛도 없는 지하 감옥 만들어서 백골이 되도 방치하는 형을 만들던가. 광산에 집어넣고 피해자들이 용서하기 전까지는 뒤질때까지 그 곳에서 생활하면서 그런 방식으로 사회에 공헌할 수 있는 기회(고통)를 주던가. 굳이 상대를 존중하지 않는 행동을 한 범죄자들의 삶을 지켜줘야하는데 사회에 풀어놓기엔 시민들이 불안해 한다면 우리도 범죄자들을 존중하는 척 하면서 죽이진 않고 그 범죄자의 왕성한 에너지 자원을 좀 더 사회를 위해 쓰고 버리자고.,0,0
풀어논 판사딸래미랑 같이 가둬놔라,0,0
이거 에초에 처음에는 성범죄 감식 안한거나 마찬가지임. 바지랑 속옷 검사하긴했는데 부위가 속옷밴드부분이랑 바지는 무릎이었음.,1,0
판사들 AI로 바꿔야되나 ㅋㅋㅋ,1,1
성범죄는 인정 안한다고 판단한 판사 일상생활 가능? 에덴동산에 살고있음??,0,0
근데..저게 언제적 사건인데 이제서 디엔에이 검사로 성범죄를 밝힌다는거지?? 그때는 디엔에이 기술이 부족했나?ㅋㅋ기,0,0
어이가 없당 이제 검사하고 야당이네,0,0
우리댓글 판사가 지켜보고있다. ㅎㅎ 여론몰이 ㄱㄱ 피의자가 나는 사회의 약자라고 하니까? 유럽이나 미국처럼 200년~300년선고가 답이다.,0,0
무기징역은 좀그렇고 징역45년정도만 줘라..,0,0
판사들도 국민들에게 평가받아야 한다. 못믿을 사람들이 너무 많다.,0,3천
정말 맘이 넘 아프다 판새는 이런피해자를 보고 어떻게 저런말도안되는 판결을 내린걸까 35년도 짧은데 겨우20년 아 진짜분통터진다,0,80
전과 18범에 얼마나 더 기회를주는지 판사는 진짜 무슨생각인지 답답하다,0,348
최환 부장판사 판결 잘~~~~~보았습니다 반드시 당신도 그판결로 피해자를 더 고통받게한 죄값을 받을겁니다,0,1.5천
적반하장...누가누구한테 보복을하겠다는건지.. 이중고통을감수해야하는 피해자가 너무불쌍합니다. 전과18범이 20년뒤엔 또 세상에나와 몇명을 더희생시킬지 걱정입니다. 사형이나 감형없는 무기징역이 정답이라생각합니다. 판검사님들 자기가족이라생각하고 판결내려주세요...!!!,0,31
최환 부장판사님 판결 잘~~~~~보았습니다 댁에는 꼭 평화가 가득하셔야 할텐데 아무쪼록 평화롭지 않길 기도하겠습니다,1,1.3천
판사들 얼굴 공개 정말 필요할듯해요. 미국 판사들 같으면 상상도 못하고 이해도 못하는 판결일겁니다.,1,852
매년마다 판사 평가제를 도입해야 합니다. 국민을 대신해 법을 집행하는 집행관 입니다. 집행관역시 국민의 심판위에 서야 합니다.,0,655
