내용,라벨,추천수
이나라 최고의 검사님! 피해자의 슬품을 읽는.. 국민 영웅 검사님으로 칭하고 싶는 마음 있니다,1,0
악마한테 사과하라는 의미 악마도 저것들보다는 착하니까 검사는 악마한테사과 해야한다는...,0,1
솔직히 악마 정도로 표현 했으면 검사가 나름 선은 안넘은거지. 내연남이랑 남편을 죽인 여자를 욕하려면 얼마든지 더 심한 욕도 가능함.,0,343
이게 맞지 형이 확정되기 전까지는 무죄추정이 원칙이다. 법을 판결하는 사람이 그걸 무시하는건 말도 안된다 ㅉㅉ,0,0
그 친척 오빠란 인간은 양심이 있는거야 ? 사람죽여놓고 함무라비 법전에 (눈에는눈 이에는이) 처럼 가족들한테똑같이 죽이라고 하면 속이 시원할텐데 법이있어 그렇게 못하고 검사가 악마라고 표현한걸 사람 두번죽이는 말이라고 항의를 했다고 하니 참 기가막힐 노릇이네 하긴 니들이 친척이라고 하니 더러운 그피가 어디 가것냐 천벌받을것들,0,15
쟤네들을 국민세금으로 먹여주고 재워주고 아직 살려둔 판사도 악마지 쓸데없는 쓰레기들은 빨리빨리 소각장으로 보내버려라,0,5
그들의 행동과 언어들이 악마이고 무기징역이다,0,47
친오빠도 아니고 친척오빠가....?징역3년밖에안되는것도 충격적인데,0,0
하여간 어떻게봐도 교화불가능인데 징역형을 왜 주는거야?,0,36
사람죽이고 겨우 징역3년?~~30년이 아니라?~~미치겠네,0,0
마귀가 씌였네 친척들도 다 검사해봐야한다 검사들 뭐하냐 압수수색 안하고? 빠져가지고 에혀~,0,0
검사가 잘못 말했다. '새끼'라고 했어야지...,0,183
징역3년 구형한 검사나 항의하는 오빠나 죄다 미쳤구나.,0,0
검사 입장에서 피고인한테 악마라는 표현을 쓰는 건 조심했어야 하는 건 맞음. 하지만 사람 여러 명 죽인 이은해한텐 악마라는 표현도 아까움.,0,0
첫번째는 한국이 문제고 두번째는 법이 문제다.... 저런 것들을 가려주고 배려해서 표현도 순화해야한다는게....쯧쯧 관련된 년놈들은 죄다 신상공개에 죄질에 따라서 형량을 무겁게 때려야지....,0,0
고작3년? 죽은사람은 뭐가 돼냐 3년살다나오면 면죄가 되는거냐 사람죽여도. 형벌도 뭐같네 아니 판사가 뭐같네,0,1
악마입니다 정답입니다 최종 판결 에서.사형을 선고해주십시요,0,0
나 같으면 쪽팔려서 재판장 안갔다 ㅉㅉ,0,0
징역3년 ㅠㅠ 이ㅇ들 나오면 또 많은 희생이나 올텐데.,0,2
악마라고 부른거 취소하시고 징역30년 때려주세요 판사님,1,0
우리법이 악마를 감싸네.ㅎ. 악마에겐 악마법을 가지고 악마판결을 내리시길. 염라대왕 판사님.,0,0
두번죽이는 거라고? 그냥 딱한번 사형 판결해라 한번만 죽이게,0,0
사람죽여놓고 징역3년받는것도 얼척없는데 악마도 아깝다,0,5
징역 3년 구형이라는게 놀랍다....,0,6
맞는 말이다 검사 놈들은 왜 이리 오지랖을 떠나 할일만 하면 되지 검사 자신이 제사장이나 된것 처럼 행동한다 짝눈 윤 석열도 마찬가지,3,0
"악마 아니고 사탄이지.... 그냥 시원하게 싸이코 패스라고 직설적으로 해버리지 법정이라고 비유법을 쓰셨네, 친척오빠인지 증명이 됐나 모르겠다. 사회적으로 일반인들은 쌍욕쓰고 있는데 검사라서 비유법 쓴것이네 , 친척 이 몇촌 사인지 도 모르겠는데 그정도로 격분할거면 애가 어릴때 가출하고 성매매 하고 직업 범죄자의 길을 갈때는 뭐했냐...... 그때도 격려했냐... 정상적인 인간이면 결혼을 몇번하고 유흐업소 접대부로 나가는건 참을수 있더냐? ㅡ 진짜 친척인지도 의심된다 이은해하고 사적관계있는 제3의 인물은 아닌지",0,0
친척오빠? 그럼 니가 대리징역 살아라~,0,0
친척오빤데 어쩌라고 지가 판검사도 아니고,0,1
뭐 공영방송에서 기사 내보내면서 악마라는 표현을 한거면 자극적 보도라고 해볼수있지만 판결내리다 언급된건데 따질건아닌듯 ㅋㅋ,0,0
검사가 맞는말 했네 그럼 천사라고 할까?,1,0
???: 검사들은 표적수사를 하고 있다!!,3,0
악마가화나 정말 우리나라좋은나라 판사한데 대들어 그럼무슨죄가추가,3,0
사형 안가 징역3년 잘한다잘해,0,1
유유상종이지..판사가모처럼 맞는말했는데 항의를해..,0,0
요새 아무리 대한민국 공권력을 ㄱㅈ으로 본다지만 검사한테 ㅋㅋ 찡찡대네;;,0,0
내 귀가 잘못됐나~??????? 징역 3년~??????????????? 아나운서가 발음 실수했나~?,0,0
무기진혁 무기징역 받고 3년 더 추가 했다는 거죠?,3,0
검사님 악마라는 표현 싫다네요 마귀나 사탄으로 써주세요 아님 에이즈.암 요런거,0,0
한국 판사들은 엽기적이라서 저 것들을 풀어줄수도 있다,0,43
"무기징역은 가석방 제도가 있기 때문에, 가석방 없는 무기징역이 되어야 합니다.",1,190
사형이지왜무기징역이야 저런것들은없애버려야되는거아냐,0,57
이은해 돈쓰는거좋아하고 노는거좋아하는데 감방에서 무기징역.. 니먹이구재울 세금이 아깝지만 젊은청춘 감빵에서 죗값받으며 평생 죄인으로 살아라,0,5
저렇게 구형해도 법은 결코 평등하지도 않고 형평성도 않거니와 판사들의 권력제도이기 때문에 어떻게 판결이 날지 모릅니다. 판사들의 역량과 성격에따라 법이 바뀌는게 대한민국 썩은 정치판이자 법치국가니까요.,0,5
형량이 너무 싸네요 억울하게 죽어간 고인은 다시는 돌아올수 없는데 형평성에 어늣납니다 똑같이 죽어야죠 다시한번 삼가 고인의 명복을 빕니다,1,1
이럴 땐 진짜 사형제도 좀 부활했으면 좋겠다 사형집행관들이나 범죄 입증을 해야하는 검사나 구형을 해야 하는 판사나 실로 여러 사람 피곤하긴 하겠지만서도…,0,1
사형답이지 무기징역도 아깝다,0,3
무기징역이 제일 좋은겁니다. 사형이 없는 우리나라에서 사형수는 미결수라 노동을 안하는데 무기징역은 죽을때까지 매일 노동해야되서 저 년놈들한테는 그나마 최고의 형벌입니다.,0,18
"검사가 ,무기징멱 구형해도 판사가 적게 선고할수도 있음ᆞ",0,15
선고 확정까지 봐야지... 검찰이 구형해봤자 가해자지킴이 판사들이 뭔 짓을 할 지 모른다.,0,1
구형이 무기면 실형은 얼마나 나올까?실형받고 살다가 감형받고 몇년살고 나오는거 아닌지 사형을 받아야 되는거 아닌가?죄질이 너무 악독하것만 너무약하게 형을 내렸네,0,1
남의 인생. 망치고. 간접살이 해놓고. 사형시키야지 왜. 무기징역이라니. 남의 돈까지. 빼았고. 살인까지 해놓고. 사형시키라,0,0
"사형이 판결되길 기대했는데.... 직접 살인은 아니니깐, 무기징역을 구형한듯. 검찰에서 현명하게 판단한듯 하네요. 대신 가석방 없는 무기징역이길.....",1,1
"무기징역이 엄벌인가? 언제 풀려날지도 모르는일인데,종신형도 아니고 무기징역? 법이 이리 물러 터졌으니 강력범죄를 저질러도 두려움이 없는거지.여러분 누구 죽이고 싶은 사람 있으면 그냥 죽여버리세요.법이 알아서 선처를 해줄것이오~ ~~젠장!!!!!!!!",0,0
여자 잔인하게 살인한 남자는 무기징역 안주면서 여자가 남자 죽였다고 무기징역 주냐? 판사 미팃나,0,4
"세금이 아까워서 사형이 좋을 것 같기는 한데 이전에 살인자들, 성폭행범들도 무기징역이나 살인 다시 내려주기를",0,0
판결이 아니라 구형이네 판결은 어찌 날라나,0,0
판사 가족이 당했으면 즉결처형,0,0
과연 재판부는 어떻게 선고 할까요. 혹시 이런적 있나요. 검찰이 무기징역 구형했는데 재판부에서는 더 높게 사형을 선고하거나. 이런사례는 없나요?,0,0
감형은 진심으로 반성할때 가능하다.~지금처럼 끝까지 우기면 무기징역이지~!!!,0,0
사이코패스 검사결과 굼굼하네... 판결에 대해관심없어.. 어짜피 뻔한팔결이니까.. 그냥무줘로 풀어줘도 놀랄일은아니지 .. 대한민국판사 그럴만도하니까..,0,0
판사는 어떤 구형할까 판사앞에 오면 망하던데 깎아주느라 구슬땀 흘림,0,2
보통 검사가 사형 구형 해야 판사가 무기 이렇게 줄이던데.. 무기 하면 15년 이렇게 줄이더라... 되던 안되던 사형 때리지 ..,0,0
이것들이반성이없어 있다해도 무기징역이다 세금으로 밥배터지게커먹고 반성해라,0,0
언제까지 살줄알고 무기 징역이래요? 밥값이 아깝네요,0,0
당연히 무기 아니면 사형이지 근데 지하철역에서 무참히 사람 죽인 전주환도 무기징역이어야되는거아니냐;;;,0,2
무기징역 나와야하는데 확실한 물증이 없으니까...,0,0
판ㅅ님이 어찌 판결할까...,1,0
무기징역 너무 약하다 가석방없는 무기 종신형정도의 확답은 받아야지,0,0
성범죄자들도 무기징역좀 때리소,0,1
검찰이 주장한거지 판사가 아직 결정안했어유ㅠ,1,0
차라리 징역40년을때리는게 낫지 쟤들 기를쓰고 가석방받으려고 발악을할텐데 ... 20년후에나오겠네 ㅡㅡ,0,1
판사들아 검찰이 구형한 그대로 무기징역 판결만 내면 된단다. 쉽지?,0,0
사형이어야지 꼴에반성한다고 형량줄이는거아냐 혹시,0,3
무기징역이면 나올수가 있는거잖아요 차라리 60년 70년 80년 때려야 안나오지....,0,0
가석방 없는 무기징역!!!!!!,0,2
선고는 아니군요. 선고된들 무기징역은 20년 후에 가석방 가능한 것 아닌가요?,0,0
어차피 판사들은 ㅈㄴ 인자하게 깍아줄거자나,0,0
항소하고 또 대법원가서 징역 15년에 한 10년 살다 가석방으로 젊은나이에 또 나오겠네,0,1
구형이니까 판사가 무죄줄려나? ㄷ,0,2
법원이 미쳤나 왠일로 무기징역을 다 주고...,0,0
무기징역 선고까지 꼭 나와라 둘이 나와서 또 대상자 찾으러다닌다,0,0
직접적 살인이 아니어서 무기징역인건가?,1,0
무기징역이라도 10~20년만 살다가 나오던데.... 대한민국은.. 범죄자인권에 최선인 무기징역~~~,0,0
형량이 좀 쎈데 판사양반? 술쳐먹고 사람치여 죽인건 왜 4년이냐고,0,0
검사가 무기때렸으니 판사가 20년주겠네.,0,0
그냥 구형이고 판결은 15년정도 나올듯,0,1
ㄱㅊ 자비로운 판새께서 징역 10년정도 선고예정,0,1
1심 무기면 2심은 또 형량 감소네 슬슬 관심이 사라지면 슬그머니 성인지 감수성 시작 하겠지,0,0
남을 죽였는데 무기징역이라니.... 사형을 두번해도 화가 나는데... 판사들이 경험이 없어서 그런가 보다...,0,1
"어쩔수없이 여론에 많이 치우치는구만. 스토킹하고, 직접 흉기써서 살해해도 30년형 주면서 이경우는 무기징역을 주네. 구형이니까 또 바뀔듯.",0,0
ㅋㅋ 검찰? 검찰?? ㅋㅋㅋㅋ 판사한테 반성문 쓰면 10년으로 줄어드는거아녀? ㅋㅋㅋㅋ 요즘 판사한테쓰는 반성문대필 해주는 업체도 있다던데 ㅋㅋㅋㅋㅋㅋㅋㅋㅋ,0,0
사형이지 왜 무기징역?? 우리 새금으로 밥 먹여주고 재워주고 해야되는데 새금 낭비라 생각함,0,0
윤석열 김건희 무기징역인줄 알았는데.아까비~!.....,3,1
현직판사입니다 ㅋㅋ이은해 3년 조현수1년,0,0
욕좀 하겠습니다..누구한테..이은해 아니...구형한사람 ..언젠가 또 나오게 만들었군..니기미..가석방없는 무기징역이면 몰라도.. 니기미..언젠가 또 나오겠네..그리고 선고가 남았군..그때는 그냥 10년이로해라..똘리ㅏ이드 라ㅏㅏㅏㅏㅏㅏㅏㅏㅏㅏㅏ,0,0
응 판사님이 줄여주실거야 ㅋㅋㅋ 안봐도 비디오 믿는 흑우 없제?,0,0
무기징역 그런거 말고 5000년형 어떰?,0,2
감형해줄듯. 심신미약 등등 ㅋㅋ 20년예상함.,0,0
잠재적 범죄자가 무기징역을 당하노,0,0
아동학대 사망은 무기징역 안해?,0,0
무기징역...... 이게 맞지..... !! 평생 반성 하면서 살아라,0,0
판사님께서 30년정도 때려주실 듯.,1,0
살면서 가장 충격받은 사건중 하나였는데 무기징역 받아서 참 통쾌합니다. 다시는 이런일이 나오면 안됩니다,0,534
"검사님, 판사님 고생하셨습니다",1,708
간만에 판결 조금 맘에 드네. 진짜 저런 것들이 세상에 다시 풀린다는 상상 자체가 끔찍하다,0,81
진짜 판사님 고생하셨고 앞으로도 엄중한 처벌 받아야할 사람은 이렇게 처벌받아야 한다고 생각합니다.,1,135
다행입니다. 대법원까지 제발 이 형량 지켜지길 바랍니다. 고인의 명복을 빕니다,1,4
제발 모범수 이딴거 인정해주지 마세요 검사 판사님 뿐 아니라 교도관님들까지 바르신 분들이길..,1,54
징역 15년 이상 장기수들은 제약회사 임상 테스터로 쓸 수 있게 법을 추진해야 한다. 어차피 죄짓고 들어가서 세금으로 먹고 사는 것들이 사회에 공헌이라도 해야지.,0,147
형량으로 끝이아니라 각자 교도소에서 갈굼받으며 하루하루 고통스럽게 살길 바란다... 진심!,0,15
"판,검사님 정말 고생하셨습니다. 둘다 무기징역 처벌을 바랬지만 그래도 저정도 죄값을 물을수 있어 다행입니다. 저악마들은 30년 동안 반성도 안하겠지만 사회와 격리 할 수 있다는데 안도합니다.",1,10
사형까진 부족했나 보구만 절대 감형 없는 무기징역으로 평생 살아라,0,559
사형도 사형이지만....사형이 실제로 집행되지않으니 내 세금으로 저인간들 죽을때까지 밥먹여야된다는건 정말 개탄스럽다. 즉결처형제도 도입하라!! 판결즉시 참수형 도입하라!!,0,10
대법원까지 감형없이 무기징역/ 30년 쭈욱 가서 정의는 살아있다는걸 보여주세요,0,33
판사님. 현명한 판결 감사합니다.수고하셨습니다.,1,1
아직 1심이네요. 무조건 항소할테고 대법원까지가면 감형될까 벌써부터 맘이 쓰리네요. 부디 우리 모두의 관심에서 멀어지기 전에 확정 판결 받았으면 좋겠습니다.,0,3
감사합니다 수고하셨습니다 이게 법이고 법이기전에 사람을 먼저 생각하신 판결이십니다.,0,1
역시 전국민이 주목하는 사건이니 세게 때리는군 아직 1심이지만 이 형량 그대로 살길,0,14
"대한민국 법이라는게 참 아이러니하다 , 꼭 국민들에게 조명을 받아야만 제대로 판결을 하나?",0,5
형량 개시원하네 스토커들도 많이 때리면 좋겠다,1,61
속 시원 합니다~^^ 감사합니다 판사님️,1,6
이 번에야 말로 시원한 판결 정말 잘했어요....속이 시원하내....,1,0
오랜만에 합리적인 판결이 난것 같네~ 최근 각종 범죄자들의 형이 너무 약하게 나와서 법좀 강화하자고 속으로 외쳤었는데......앞으로도 범죄자의 인권보다 피해자의 인권을 더 우선시하는 법조계가 되기를.....,0,1
진짜 속시원한 판결이다 제발 강력범죄자 들한테 1~3년 이렇게 때리지 말고 최소 30년은 줘라,0,0
오랜만에 정당한 법 집행한 판사님을 보네요,1,0
누구는 죽여도 몇년이고 누구는 무기징역이네... 참 법이란.....,0,33
정말 판사다운 판사의 판결이다 ^^,1,3
판사님 검사님 고생하셨습니다.,1,0
판사님 검사님 고생하셨습니다 짱!!,1,1
무기징역이 유지되길 바랍니다,1,0
1심이네 대법원에서도 동일한 판결있길 바랍니다,0,2
조주빈42년 이은해 공범 30년 승리 1년 요새 판결 아주 좋습니다,1,7
판사가 이번엔 제대로 하셨네,1,0
항소도 하고 대법원에 상고까지 할듯... 앞으로 2년가까이 지나야 완결된 판결 나오지 싶네요,0,4
캬 편안하네 이거지 진짜 간만에 속 시원한 판결이네,1,0
이번엔 똑소리나는 판사가 일했나보네... 더욱 강화되기를...,1,0
아우~저것들 참수형이 딱인데 2심에서 형량 감형되면 징역 20년 살고 사회로 나와서 돌아 다니겠구만ㅠㅠ,0,7
와 나이 30살에 무기징역이면 진짜 괴롭겠다 ㅋㅋ,0,12
세상사 모든분들이 성선설에 의해서 천사같이 아름답고 선한 분들만 사신다면 제일 먼저 검찰공화국은 잉태되지도 출생하지도 아니 했겠지 검사님들은 성악설만 아시는 듯한 요즘의 대한민국 사람들 시대의 역설적인 모습에 현자는 어떤 한마디 말씀을 하실까,3,0
무기수는 감형의 여지가 있다,0,25
ㅅㅅㅅ 올만에 판사님 일좀 했구나 이제 1심이죠 계속 쭉쭉 갑시다,1,2
무기징역 왜 하는지 모르겠다 세금낭비다 그냥 사형 시켜버리면 안되냐,0,4
감형사유가 존재하는 무기징역은 사실상 모범수로 있다면 약20년뒤에 출소가능성이 있습니다. 그래서 사형이라는 제도를 활용해서 사실상 무기징역의 권위를 상승시킨건데 이렇게 되면 이걸 알고 범죄자들은 더 기승을 부릴겁니다. 하루라도 빨리 사형제도의 실체화가 필요합니다. 인간은 인간의 생명에 침범할 권리가 없지만 그 권리를 침해한자에게는 당연히 같은 법처벌이 필요합니다. 즉 국민 세금 낭비시키지 말아주시길,3,1
와 내가 좋아하는 상식에 형량이 드디어 나오네,1,0
"큰 형량을 안 받으려고 이것저것 부인하고 인정하지 않겠지만 이랬든 저랬든 ""응... 잘 알겠고 넌 무기징역""",0,3
와 가끔은 판사도 정상적으로 작동을하네?,0,1
타인을 이용해 본인들은 행복한 노년을 꿈꿧겠지. 감옥에서 늙을때까지 고인에게 죄를 뉘우치면서 살아라. 감형이 없길 바란다,0,0
무기징역수가 감옥서 피곤한 존재임 더이상 처벌도 없기에 막나가도됨,0,5
대법원까지 가면 형량 계속 깎이는거 아닌가?,0,0
그와중에 남자는 형량 더 적게 받은거 보소ㅋㅋㅋㅋㅋㅋㅋ 이은해도 남자 였으면 무기징역까지 안갔다 백퍼ㅋㅋ 저것보다 훨씬 끔찍하게 살해해도 어지간하면 무기징역 안받는데;; 여자 살인마 귀해서 주목 너무 많이 받음 불쌍ㅠㅠ,0,3
"뭔 30년이야 똑같이 무지깅역 때려야지 진짜 판사, 검사,변호사 놈들 법관련 일은 Ai 대체 1순위",0,1
둘 다 형량이 너무 가벼운듯합니다.. 사형으로 바꾸어 주십시오.,0,5
계획적인가 아닌가에 따라 다른건가 누군 20년이고 누군 무기징역이네;;,0,3
1심이 최종 판결이었으면 좋겠네요,1,1
직접 죽인 것도 아닌데 무기징역? 이나라 참ㅋㅋㅋㅋㅋㅋ,0,3
"정말 좋은 판결이네요!!!다만 요즘 많이 나오는 마약사범, 촉소년사건, 음주 뺑소니 사건등 다른 사건들도 엄중히 처벌해주세요 국회의원 아들이라고 남양유업의 외손녀라고 봐주지말고 1년이 뭐냐 1년이 내가 그랬어봐 아오!!!",1,0
저런 악마들은 사형이 안된다면 무기징역도 모범수다 뭐다해서 석방 시켜주는것 말고 가석방 없는 무기징역도 좀 만들자. 솔직히 저런것들이 세금으로 밥 쳐 먹는것도 아깝다..,0,0
무기징역 유지하길 간절히 바란다.,1,0
항소하겠네 판사님 정신 바짝 차려서 이들 항소하면 형량 감형 해주지 마세요 사형으로 해줬음 좋았지만 그래도 잘 하셨어요 이들은 항소하면 진짜 악마다,0,0
"항소심까지 갈거같은데, 절대 감형해주지 마세요.",0,0
최종선고까지 무기징역이 유지되길 바랍니다. 양심 없는 것들이니 항소 무조건 하겠지...,0,0
"1심 판결이 꼭 유지돼야 할텐데… 항소심, 대법까지 가서 깎이는거 아녀 ㅜㅜ",1,0
가석방없고 재심청구 없는 무기징역을받길기원합니다 조용해지면 가석방 받는그런사람들많아요,0,0
최근 판결중에 그나마 마음에 드네요. 얼굴 가릴거 없다. 잘못 뉘우치고 평생 썩어가렴.,0,0
무기징역은 가석방 제도 있지 않나요 그 저런 악마를 사형이 안되다니 차라리 사형선고라도 하지 그럼 죽을때 나올텐데 ...,0,1
아이고 참 일찍도준다 누가봐도 30년 이아니어도 징역 100년을 줘도 모자라는데 저거판결 내리는게 그렇게 10만년 1억만년 걸려서 판결 날 일인가 싶다! 그냥 깊은 바다에 산채로 묻어 버려도될판결인데..,0,0
30년도 적은데... 그래도 판사님 감사합니다,1,0
무기징역이라해도 감형해주고 모범수라고 내보내주면 무기징역도 아니지. 일절 그런거 없길 바래요,0,0
무기징역말고 60년 살고 사회나와서 비참하게 죽음을 맞이하는게 더 고통을 주는건데 법이 허락하지 않네요,0,0
사형제도 부활시켜라. 무기징역 살인범은 사형시켜라. 공범 쓰레기는 절대 감형없이 모범수 출소 없이 진행해라. 30년형도 너무 적다,0,0
당연한 판결. 강력범죄엔 강력처벌!!!,1,0
항소하면 더때려버려라 무조건감형된다는 틀에 배히지말고 항소자체가 뉘우침과 반성이 없다는 반증이다차라리 용서를구하면 그냥 유지해주고~,0,0
모든 증거가 인정돼 다행이네요. 이은해변호사가 말도 안되는 헛소리로 쉴드쳤던데... 증거불충분 이런걸로 형량 적게 나오면 정말 화날뻔했는데... 항소도 하겠지? 절대 형량 변하지않길...,0,1
"사형, 무기징역이 아니고 무기징역, 30년형이라니...",0,0
속시원하네. 킵고잉 요런 판결들이 많아졌으면 다시 사형제도 집행가즈아~,1,0
진짜 밥값이 아까운디 어쩌겟어 무기징역으로 평생썩어라 제발 나오지말고,0,0
저것들 반성 없어 저런 형량 나온거 같은데...항소하면 가관이겠다. 항소해서 판사 검사 더 열받게 해라. 사형가자 은혜야,0,1
항소해서 대법까지가면 감형가능,0,0
무기징역 마땅하다 더한처벌 을 받아야하는데ᆢ,0,1
왠일로 형량을 높게주노 ..,0,5
제발 보석금 또는 감형받아서 나온다고나 모범수 이딴거 적용시키지마라,0,0
둘다 이제 뭔가 ㅈ됐다 싶어서 싹싹 비는 시나리오 쓰지말고 그냥 끝까지 죄인정하지말고 오리발 내밀어서 지금 형량 그대로 대법원까지 가길 바란다...,0,0
최종판결까지 이대로 갑시다.. 제발 감형은 안대..,0,0
악마이은혜 무기진역 감형은절때안됩니다 지버릇개안줍니다 백살에나와도 저악마는똑같은짓을또할겁니다 판사님고생하셨습니다,0,0
우리나라흉악잔인무도한 인간쓰레기들은 쉽게죽이면안됩니다 살려두되 스스로죽을때까지 괴롭히고고통을주어야됩니다 그것이 사형이없되 더 괴롭게피말려죽이는 민주주의입니다 재판결과아주만족합니다,0,0
제대로된 판결이라는 생각은 오랜만이네,1,0
무기징역이라.... 사람 값이 이것 밖에 안되나. 둘이서 사람하나를 죽였으면 당연히 두 목숨으로 갚아야지,0,0
아직 1심선고이기에 더 지켜봐야합니다 둘다 무기징역으로 나오길..,0,0
우리나라도 형량 선고할때 다른 나라들처럼 합산으로 때려야하는데 왜 아직도 최고 형량 하나만 고집하는지... 사형제도가 복구되고 형량 합치면 사형까지 가능할텐데.,0,0
무기징역 확정내고 진짜 극한일 하는것에서 평생 일하게 해주세요. 편하게 먹고 자는꼴을 어떻게 봅니까..,0,0
조현수도 무기징역을 때려야지 무슨 이은해만 무기징역을 때리냐? 조현수도 공범인데!법 개판이네,0,1
무기징역도 아까운것들 사형이 답인데!!!!!!!!,0,0
사형보단 역시 무기징역이죠 죽을때까지 감옥에나 갇혀있어라,0,0
무기징역수를 자체적으로 임상시험 대상에 포함시키면 안되나?? 이거 인권에 걸릴려나....,0,1
무기징역 왜하냐? 그냥 저세상으로 보내줘,0,0
둘다 무기징역이여야지 공범은 왜 30년뒤에 다시 사회에 풀어놓냐고 ㅡㅡ미친,0,1
아직 1심이라... 대판까지 가야 확정이지. 그때까지 쭉 가석방 없는 무기징역이 나와야 하는데...,0,1
항소 상고 까지 가면 달라진다. 무기에서 유기로 감형된다 판사들은 신뢰성 을 잃었다. 꼭 무기징역 확정될때까지 믿지 말자,0,0
이런 사람들은 징역 30년 인데 왜 음주운전 해서 사망시키면 30년이 안 나오지?,0,1
